tablescraper-selected-row,tablescraper-selected-row 2,tablescraper-selected-row 3,tablescraper-selected-row 4,table 6,tablescraper-selected-row 5,tablescraper-selected-row 6,table 15,tablescraper-selected-row 7,State
Chatra,4,KALI CHARAN SINGH,Bharatiya Janata Party,8,KRISHNA NAND TRIPATHI,Indian National Congress,2,220959,Jharkhand
Dhanbad,7,DULU MAHATO,Bharatiya Janata Party,8,ANUPAMA SINGH,Indian National Congress,2,331583,Jharkhand
Dumka,2,NALIN SOREN,Jharkhand Mukti Morcha,3,SITA MURMU,Bharatiya Janata Party,8,22527,Jharkhand
Giridih,6,CHANDRA PRAKASH CHOUDHARY,AJSU Party,1,MATHURA PRASAD MAHATO,Jharkhand Mukti Morcha,3,80880,Jharkhand
Godda,3,NISHIKANT DUBEY,Bharatiya Janata Party,8,PRADEEP YADAV,Indian National Congress,2,101813,Jharkhand
Hazaribagh,14,MANISH JAISWAL,Bharatiya Janata Party,8,JAI PRAKASH BHAI PATEL,Indian National Congress,2,276686,Jharkhand
Jamshedpur,9,BIDYUT BARAN MAHATO,Bharatiya Janata Party,8,SAMIR KUMAR MOHANTY,Jharkhand Mukti Morcha,3,259782,Jharkhand
Khunti,11,KALI CHARAN MUNDA,Indian National Congress,2,ARJUN MUNDA,Bharatiya Janata Party,8,149675,Jharkhand
Kodarma,5,ANNPURNA DEVI,Bharatiya Janata Party,8,VINOD KUMAR SINGH,Communist Party of India  (Marxist-Leninist)  (Liberation),0,377014,Jharkhand
Lohardaga,12,SUKHDEO BHAGAT,Indian National Congress,2,SAMIR ORAON,Bharatiya Janata Party,8,139138,Jharkhand
Palamau,13,VISHNU DAYAL RAM,Bharatiya Janata Party,8,MAMTA BHUIYAN,Rashtriya Janata Dal,0,288807,Jharkhand
Rajmahal,1,VIJAY KUMAR HANSDAK,Jharkhand Mukti Morcha,3,TALA MARANDI,Bharatiya Janata Party,8,178264,Jharkhand
Ranchi,8,SANJAY SETH,Bharatiya Janata Party,8,YASHASWINI SAHAY,Indian National Congress,2,120512,Jharkhand
Singhbhum,10,JOBA MAJHI,Jharkhand Mukti Morcha,3,GEETA KORA,Bharatiya Janata Party,8,168402,Jharkhand
