Constituency,Const. No.,Leading Candidate,Leading Party,Seats,Trailing Candidate,Trailing Party,Seat,Margin,State
Aska,19,ANITA SUBHADARSHINI,Bharatiya Janata Party,20,RANJITA SAHU,Biju Janata Dal,0,99974,Odisha
Balasore,6,PRATAP CHANDRA SARANGI,Bharatiya Janata Party,20,LEKHASRI SAMANTSINGHAR,Biju Janata Dal,0,147156,Odisha
Bargarh,1,PRADEEP PUROHIT,Bharatiya Janata Party,20,PARINITA MISHRA,Biju Janata Dal,0,251667,Odisha
Berhampur,20,DR. PRADEEP KUMAR PANIGRAHY,Bharatiya Janata Party,20,BHRUGU BAXIPATRA,Biju Janata Dal,0,165476,Odisha
Bhadrak,7,AVIMANYU SETHI,Bharatiya Janata Party,20,MANJULATA MANDAL,Biju Janata Dal,0,91544,Odisha
Bhubaneswar,18,APARAJITA SARANGI,Bharatiya Janata Party,20,MANMATH KUMAR ROUTRAY,Biju Janata Dal,0,35152,Odisha
Bolangir,10,SANGEETA KUMARI SINGH DEO,Bharatiya Janata Party,20,SURENDRA SINGH BHOI,Biju Janata Dal,0,132664,Odisha
Cuttack,14,BHARTRUHARI MAHTAB,Bharatiya Janata Party,20,SANTRUPT MISRA,Biju Janata Dal,0,57077,Odisha
Dhenkanal,9,RUDRA NARAYAN PANY,Bharatiya Janata Party,20,ABINASH SAMAL,Biju Janata Dal,0,76567,Odisha
Jagatsinghpur,16,BIBHU PRASAD TARAI,Bharatiya Janata Party,20,DR. RAJASHREE MALLICK,Biju Janata Dal,0,40696,Odisha
Jajpur,8,RABINDRA NARAYAN BEHERA,Bharatiya Janata Party,20,SARMISTHA SETHI,Biju Janata Dal,0,1587,Odisha
Kalahandi,11,MALVIKA DEVI,Bharatiya Janata Party,20,LAMBODAR NIAL,Biju Janata Dal,0,133813,Odisha
Kandhamal,13,SUKANTA KUMAR PANIGRAHI,Bharatiya Janata Party,20,ACHYUTANANDA SAMANTA,Biju Janata Dal,0,21371,Odisha
Kendrapara,15,BAIJAYANT PANDA,Bharatiya Janata Party,20,ANSHUMAN MOHANTY,Biju Janata Dal,0,66536,Odisha
Keonjhar,4,ANANTA NAYAK,Bharatiya Janata Party,20,DHANURJAYA SIDU,Biju Janata Dal,0,97042,Odisha
Koraput,21,SAPTAGIRI SANKAR ULAKA,Indian National Congress,1,KAUSALYA HIKAKA,Biju Janata Dal,0,147744,Odisha
Mayurbhanj,5,NABA CHARAN MAJHI,Bharatiya Janata Party,20,SUDAM MARNDI,Biju Janata Dal,0,219334,Odisha
Nabarangpur,12,BALABHADRA MAJHI,Bharatiya Janata Party,20,PRADEEP KUMAR MAJHI,Biju Janata Dal,0,87536,Odisha
Puri,17,SAMBIT PATRA,Bharatiya Janata Party,20,ARUP MOHAN PATNAIK,Biju Janata Dal,0,104709,Odisha
Sambalpur,3,DHARMENDRA PRADHAN,Bharatiya Janata Party,20,PRANAB PRAKASH DAS,Biju Janata Dal,0,119836,Odisha
Sundargarh,2,JUAL ORAM,Bharatiya Janata Party,20,DILIP KUMAR TIRKEY,Biju Janata Dal,0,138808,Odisha
